"","X1","id","price","type","sqfeet","beds","baths","cats_allowed","dogs_allowed","smoking_allowed","wheelchair_access","comes_furnished","state","State Name","MedianIncome","Governor","Pop","LandArea(sqmi)","PopDensity","TaxRate","DeathPenalty","PctWhite","PctBlack"
"1213",305832,7045364629,779,"apartment",880,2,1,1,1,1,0,0,"sc","South Carolina",52306,"R",5021268,32020,156.8166,0.63,1,63.6,26.8
"1214",11552,7043988322,899,"apartment",976,2,2,1,1,1,0,0,"az","Arizona",59246,"R",7278717,113990,63.85399596,0.68,1,54.7,4.1
"1215",334473,7038527451,1070,"apartment",882,1,1,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1216",258497,7044861018,1225,"apartment",1195,3,2,1,1,1,0,0,"nd","North Dakota",63837,"R",754942,70698,10.67841,1.11,0,84.4,3
"1217",1767,7043478370,1120,"apartment",1319,3,2,1,1,1,0,0,"al","Alabama",49861,"R",4903185,52420,93.53653186,0.48,1,65.5,26.7
"1218",247911,7027426065,750,"apartment",360,0,1,1,1,0,0,0,"ny","New York",67844,"D",19453561,54555,356.5862,1.88,0,55.1,14.3
"1219",354394,7031994602,900,"apartment",830,2,1,1,1,1,0,0,"ut","Utah",71414,"R",3101042,84897,36.52711,0.65,1,78.3,1.2
"1220",301186,7042512421,1220,"apartment",1082,2,2,1,1,1,0,0,"sc","South Carolina",52306,"R",5021268,32020,156.8166,0.63,1,63.6,26.8
"1221",12259,7049970620,1178,"apartment",676,1,1,1,1,1,0,0,"az","Arizona",59246,"R",7278717,113990,63.85399596,0.68,1,54.7,4.1
"1222",340757,7029244319,1219,"apartment",1052,2,2,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1223",332291,7033394819,899,"apartment",540,0,1,1,1,1,0,1,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1224",1966,7042085310,765,"apartment",802,1,1,1,1,1,0,0,"al","Alabama",49861,"R",4903185,52420,93.53653186,0.48,1,65.5,26.7
"1225",157222,7037325695,999,"apartment",1014,2,2,1,1,0,0,0,"ky","Kentucky",50247,"D",4467673,40408,110.5641,0.74,1,84.6,8
"1226",207840,7035325433,1055,"apartment",1018,2,2,1,1,1,0,0,"ms","Mississippi",44717,"R",2976149,48432,61.45005,0.86,1,56.6,37.9
"1227",374490,7051171690,1395,"apartment",644,1,1,1,1,1,0,0,"wa","Washington",74073,"D",7423362,71298,104.1174,0.88,0,68.6,3.5
"1228",259109,7024955006,743,"apartment",754,1,1,1,1,1,0,0,"nd","North Dakota",63837,"R",754942,70698,10.67841,1.11,0,84.4,3
"1229",88424,7019350165,920,"apartment",600,1,1,1,1,1,1,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"1230",225311,7050864749,1145,"apartment",1065,2,2,0,0,1,0,0,"nc","North Carolina",53855,"D",10488084,53819,194.877,0.78,1,63,21.2
"1231",94600,7035760086,882,"apartment",954,2,2,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"1232",104246,7029562096,1109,"apartment",897,1,1,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"1233",354580,7051195887,994,"apartment",899,2,2,1,1,1,0,0,"ut","Utah",71414,"R",3101042,84897,36.52711,0.65,1,78.3,1.2
"1234",334434,7047381235,2560,"apartment",1248,2,2,0,0,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1235",307020,7041452220,1625,"apartment",1400,3,2,1,1,1,0,0,"sc","South Carolina",52306,"R",5021268,32020,156.8166,0.63,1,63.6,26.8
"1236",118133,7027493756,905,"apartment",1132,2,2,1,1,1,0,0,"ga","Georgia",58756,"R",10617423,59425,178.6693,0.86,1,52.6,31.1
"1237",66199,7043399736,1743,"apartment",1193,3,1.5,1,1,1,0,0,"ct","Connecticut",76348,"D",3565287,5543,643.2053,2,0,66.7,9.9
"1238",137190,7024362294,814,"apartment",960,2,1,1,1,1,0,0,"in","Indiana",55746,"R",6732219,36420,184.8495,0.94,1,79.2,9.2
"1239",207785,7035812564,750,"apartment",800,2,1,0,0,1,0,0,"ms","Mississippi",44717,"R",2976149,48432,61.45005,0.86,1,56.6,37.9
"1240",321922,7040057945,1550,"apartment",700,1,1,1,1,1,0,0,"tn","Tennessee",52375,"R",6708799,42144,159.1875,0.54,1,73.9,16.6
"1241",348009,7039477013,1075,"apartment",967,2,2,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1242",189422,7043495893,0,"apartment",1152,3,2,1,1,1,0,0,"mi","Michigan",56697,"D",9986857,96714,103.2618,1.52,0,75,13.6
"1243",120647,7027544876,1925,"apartment",750,2,1.5,1,1,0,0,0,"hi","Hawaii",80212,"D",1415872,10932,129.5163,0.32,0,21.8,1.6
"1244",254807,7025876252,725,"apartment",800,2,1,0,1,0,1,0,"ny","New York",67844,"D",19453561,54555,356.5862,1.88,0,55.1,14.3
"1245",336638,7048620954,675,"apartment",700,2,1,1,1,1,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1246",109041,7049196329,887,"apartment",900,2,1,1,1,1,0,0,"ga","Georgia",58756,"R",10617423,59425,178.6693,0.86,1,52.6,31.1
"1247",215365,7040291181,875,"apartment",256,1,1,1,1,0,0,1,"nc","North Carolina",53855,"D",10488084,53819,194.877,0.78,1,63,21.2
"1248",230335,7037639189,725,"apartment",684,1,1,0,0,1,0,0,"nc","North Carolina",53855,"D",10488084,53819,194.877,0.78,1,63,21.2
"1249",16603,7048319242,659,"apartment",520,1,1,0,0,1,0,0,"az","Arizona",59246,"R",7278717,113990,63.85399596,0.68,1,54.7,4.1
